Node,Latitude,Longitude,Connected_to,Distance (m),Description,type,label
P1,8.6788904,77.1336407,J1,33,lot near second gate,parking,Parking lot1 (near Main Gate)
P2,8.6785985,77.1340207,J1,20,lot near second gate,parking,Parking lot2 (near Main Gate)
P3,8.6791971,77.1348086,J2,20,near indoor(cricket court),parking,Parking lot3 (near Indoor)
P4,8.6818496,77.1361225,J10,6,,parking,Parking lot4 (near CSB)
P6,8.6839924,77.1325211,DF25,6,parking lot near shopping complex,parking,Parking lot6 (near Shopping Complex)
P7,8.6831158,77.1356899,IP16,32,"near lhc, behind psb",parking,Parking lot7 (near LHC)
P8,8.6824105,77.1341595,J9,11,NEAR MSB,parking,Parking lot8 (near MSB)
P9,8.6819477,77.1357689,J5,8,lot in front of csb,parking,Parking lot9 (near CSB)
P10,8.6806948,77.1360396,J3,8,near CDH1,parking,Parking lot10 (near CDH1)
P11,8.6815271,77.136385,J7,18,Parking spot near BSB,parking,Parking lot11 (near BSB)
P12,8.6817854,77.1357434,J5,10,Two wheeler parking spot near CSB,parking,2 wheeler Parking lot (near CSB)
P13,8.6813482,77.136612,J8,15,Second Parking spot near BSB,parking,Parking lot12 (near BSB)
P14,8.6833075,77.1326103,DF17,46,Parking spot near health centre,parking,Parking lot (near HC)
A,8.677884,77.133355,J1,108,Main gate,normal,Main Gate
J1,8.6787067,77.1338827,A,108,P1/P2 Junction,normal,Junction 1
J1,8.6787067,77.1338827,P1,33,P1/P2 Junction,normal,Junction 2
J1,8.6787067,77.1338827,P2,20,P1/P2 Junction,normal,Junction 3
J1,8.6787067,77.1338827,B,90,P1/P2 Junction,normal,Junction 4
E,8.6810924,77.1359324,J3,45,acad/vfr/cd1,normal,Junction 12

G,8.681984,77.1351826,K,57,Red Cafe/PSB junction,normal,Junction 16
H,8.6820503,77.1355018,J5,31,PSB/CSB Junction,normal,Junction 19
I,8.6817467,77.136348,J10,26,CSB /BSB jn,normal,Junction 20
I,8.6817467,77.136348,J7,17,CSB /BSB jn,normal,Junction 21
I,8.6817467,77.136348,IP8,80,CSB /BSB jn,normal,Junction 23
J2,8.6791537,77.1349764,P3,21,Indoor/P3 Junction,normal,Junction 24
W,8.6787361,77.13545,Y,11,Indoor/Anamudi Jn,normal,Junction 25
Y,8.6787295,77.135543,W,11,A block / Indoor jn,normal,Junction 27
Y,8.6787295,77.135543,Z,13,A block / Indoor jn,normal,Junction 28
Z,8.6788324,77.1356046,Y,13,Main Gate/Anamudi hostel jn,normal,Junction 29
J3,8.6807267,77.136104,E,45,P10/CDH1/Cake World Jn.,normal,Junction 31

J3,8.6807267,77.136104,P10,8,P10/CDH1/Cake World Jn.,normal,Junction 33
J5,8.6818937,77.135739,P9,7,P9/CSB Junction,normal,Junction 34
J5,8.6818937,77.135739,P12,12,P9/CSB Junction,normal,Junction 35
J5,8.6818937,77.135739,H,31,P9/CSB Junction,normal,Junction 36
J5,8.6818937,77.135739,J10,50,P9/CSB Junction,normal,Junction 37
J10,8.6818018,77.1361142,I,26,P4/CSB Jn,normal,Junction 38
J10,8.6818018,77.1361142,J5,50,P4/CSB Jn,normal,Junction 39
J10,8.6818018,77.1361142,P4,6,P4/CSB Jn,normal,Junction 40
J7,8.681664,77.1364707,J8,38,P11/BSB Jn,normal,Junction 41
J7,8.681664,77.1364707,I,17,P11/BSB Jn,normal,Junction 42
J7,8.681664,77.1364707,P11,14,P11/BSB Jn,normal,Junction 43
J8,8.6814418,77.1367173,P13,16,P13/BSB Jn,normal,Junction 44
J8,8.6814418,77.1367173,J7,38,P13/BSB Jn,normal,Junction 45

